node,t,T,H,x,y
1,12,12.44,48.88,4.775989265258891,5.528700000000079
1,13,10.22,51.64,4.775989265258891,5.528700000000079
1,14,10.76,48.95,4.775989265258891,5.528700000000079
1,15,11.52,49.59,4.775989265258891,5.528700000000079
1,16,11.23,56.22,4.775989265258891,5.528700000000079
1,17,11.85,59.22,4.775989265258891,5.528700000000079
1,18,12.74,54.72,4.775989265258891,5.528700000000079
1,19,11.2,58.76,4.775989265258891,5.528700000000079
1,20,10.03,59.65,4.775989265258891,5.528700000000079
1,21,10.84,51.36,4.775989265258891,5.528700000000079
1,22,10.73,52.02,4.775989265258891,5.528700000000079
1,23,9.96,56.29,4.775989265258891,5.528700000000079
1,24,10.03,54.78,4.775989265258891,5.528700000000079
1,25,12.47,52.04,4.775989265258891,5.528700000000079
1,26,13.66,56.31,4.775989265258891,5.528700000000079
1,27,15.36,49.89,4.775989265258891,5.528700000000079
1,28,13.85,52.85,4.775989265258891,5.528700000000079
1,29,14.5,53.96,4.775989265258891,5.528700000000079
1,30,14.44,63.87,4.775989265258891,5.528700000000079
1,31,12.75,83.87,4.775989265258891,5.528700000000079
1,32,11.25,67.79,4.775989265258891,5.528700000000079
1,33,12.27,54.61,4.775989265258891,5.528700000000079
1,34,13.51,74.39,4.775989265258891,5.528700000000079
1,35,11.49,68.47,4.775989265258891,5.528700000000079
1,36,10.81,51.83,4.775989265258891,5.528700000000079
1,37,11.26,50.49,4.775989265258891,5.528700000000079
1,38,9.76,54.44,4.775989265258891,5.528700000000079
1,39,12.94,43.05,4.775989265258891,5.528700000000079
1,40,14.45,41.05,4.775989265258891,5.528700000000079
1,41,14.28,46.83,4.775989265258891,5.528700000000079
1,42,14.81,48.32,4.775989265258891,5.528700000000079
1,43,15.68,47.46,4.775989265258891,5.528700000000079
1,44,15.23,52.13,4.775989265258891,5.528700000000079
1,45,15.53,45.17,4.775989265258891,5.528700000000079
1,46,16.68,36.99,4.775989265258891,5.528700000000079
1,47,16.97,37.17,4.775989265258891,5.528700000000079
1,48,16.32,47.22,4.775989265258891,5.528700000000079
1,49,18.5,49.18,4.775989265258891,5.528700000000079
1,50,16.4,63.2,4.775989265258891,5.528700000000079
1,51,15.25,57.42,4.775989265258891,5.528700000000079
1,52,14.84,47.33,4.775989265258891,5.528700000000079
1,53,14.41,40.91,4.775989265258891,5.528700000000079
1,54,14.8,35.59,4.775989265258891,5.528700000000079
1,55,14.17,42.3,4.775989265258891,5.528700000000079
1,56,13.68,45.31,4.775989265258891,5.528700000000079
1,57,13.88,49.43,4.775989265258891,5.528700000000079
1,58,15.56,47.69,4.775989265258891,5.528700000000079
1,59,16.65,52.96,4.775989265258891,5.528700000000079
1,60,17.72,56.59,4.775989265258891,5.528700000000079
1,61,17.43,75.14,4.775989265258891,5.528700000000079
1,62,12.68,52.21,4.775989265258891,5.528700000000079
1,63,11.63,43.42,4.775989265258891,5.528700000000079
1,64,12.56,45.0,4.775989265258891,5.528700000000079
1,65,13.92,44.13,4.775989265258891,5.528700000000079
1,66,16.11,45.38,4.775989265258891,5.528700000000079
1,67,16.48,47.01,4.775989265258891,5.528700000000079
1,68,17.62,45.87,4.775989265258891,5.528700000000079
1,69,19.19,39.39,4.775989265258891,5.528700000000079
1,70,20.61,37.55,4.775989265258891,5.528700000000079
1,71,20.99,40.85,4.775989265258891,5.528700000000079
1,72,20.22,42.23,4.775989265258891,5.528700000000079
1,73,19.27,50.15,4.775989265258891,5.528700000000079
1,74,19.1,46.84,4.775989265258891,5.528700000000079
1,75,19.68,36.93,4.775989265258891,5.528700000000079
1,76,20.66,38.39,4.775989265258891,5.528700000000079
1,77,21.93,38.31,4.775989265258891,5.528700000000079
